Date,SPY,TLT,ForecastVolSPY,ForecastVolTLT,EstimatedCVaR,ExpectedMonthlyReturn,Score
2014-01-31,0.61,0.39,0.028902273749146803,0.03524096607804834,0.023942294013925575,0.010396972303146476,-0.032819156921919564
2014-02-28,0.48,0.52,0.041310663389165336,0.033603547179234236,0.02802530675490506,0.0071859599677261705,-0.04364959219110294
2014-03-31,0.5700000000000001,0.42999999999999994,0.027060889807030537,0.03019973389240484,0.02139204229653197,0.014186606421618937,-0.024589069712138603
2014-04-30,0.55,0.44999999999999996,0.03304027631919571,0.033225304791539755,0.024893468747446766,0.011429210661713474,-0.03343903308369071
2014-05-30,0.54,0.45999999999999996,0.029696720166804337,0.029495892356153738,0.02224662907180499,0.008919037900330629,-0.03115489442891835
2014-06-30,0.5700000000000001,0.42999999999999994,0.026450905240161793,0.03097319527003114,0.0215677469464144,0.012793419459583018,-0.026118525043962906
2014-07-31,0.6,0.4,0.023048775186365396,0.03044559968478745,0.019759718952861764,0.014554305658065276,-0.021103188457085902
2014-08-29,0.41000000000000003,0.59,0.05372909991726159,0.032798301837576455,0.034964872734871366,0.011922086879096096,-0.05158468404367236
2014-09-30,0.67,0.32999999999999996,0.024086089667385062,0.029866400370141065,0.02271722705866057,0.015879199867347954,-0.02579180883824107
2014-10-31,0.61,0.39,0.0330540722346557,0.03247343844375007,0.029848962321783492,0.011780192885313415,-0.04212793929389687
2014-11-28,0.51,0.49,0.04050858011710539,0.03152624579849302,0.03349872390481335,0.012526853650575577,-0.048070849378088455
2014-12-31,0.6799999999999999,0.32000000000000006,0.024131041494834193,0.029934092061801504,0.023875436152567882,0.014050648852680633,-0.029435136221941553
2015-01-30,0.55,0.44999999999999996,0.03759752667861161,0.03570781260295779,0.03408741306392073,0.015082711637967011,-0.0466646318770903
2015-02-27,0.53,0.47,0.046849159988383245,0.044475543425844456,0.04143944584353189,0.018978558180819147,-0.055672444337538256
2015-03-31,0.73,0.27,0.0260940446571375,0.04359495857118761,0.02789076124532225,0.012486558911173777,-0.03831681133040628
2015-04-30,0.6,0.4,0.039293941922171824,0.043117419440053824,0.03668682606317176,0.01345148795705518,-0.05297479895665398
2015-05-29,0.6,0.4,0.03616420211940192,0.04013878267805535,0.034603978136826086,0.01067993521038408,-0.051607225435902876
2015-06-30,0.71,0.29000000000000004,0.03242011486373092,0.04695492638936924,0.03555286638596014,0.0059829709941891475,-0.058342188500539106
2015-07-31,0.7,0.30000000000000004,0.037015535089336984,0.05009475937806669,0.04040963674850952,-0.0006014782525566989,-0.07336882439987384
2015-08-31,0.74,0.26,0.0285429920322151,0.04453450333119065,0.032704616470380525,0.004769637233258739,-0.05421867241342621
2015-09-30,0.47,0.53,0.0550999070863298,0.04348526527795408,0.05198924567325014,-0.004271323065728502,-0.09866196527757876
2015-10-30,0.36,0.64,0.06067793249207834,0.046369285558707896,0.06354798739345904,-0.005452022445891398,-0.12016839975411767
2015-11-30,0.56,0.43999999999999995,0.03139300497016278,0.03900145902915856,0.042734574101886774,0.0015743571661936565,-0.07594787621720255
2015-12-31,0.53,0.47,0.027548809762052342,0.031480613372672835,0.036036049532758366,0.001900502281006216,-0.06305438687795885
2016-01-29,0.44000000000000006,0.5599999999999999,0.04123601893446294,0.038131031494561304,0.04885530520245236,0.0029610548614378974,-0.08524849450297636
2016-02-29,0.24000000000000002,0.76,0.07265043707070734,0.03774458369282134,0.05767136723044016,0.00223297278825023,-0.10217548822654207
2016-03-31,0.44000000000000006,0.5599999999999999,0.04065174734970127,0.038758230840366316,0.046462243736015325,0.004338444435516114,-0.07989359428931148
2016-04-29,0.6,0.4,0.027472160966557215,0.036247737845592896,0.03569625943537498,0.010469963743191962,-0.054263303240483
2016-05-31,0.54,0.45999999999999996,0.030303714393815205,0.03310747870100148,0.03694465233162261,0.003657121023967424,-0.06302325317295328
2016-06-30,0.54,0.45999999999999996,0.028300308163313106,0.03140224667565056,0.03301870263220741,0.00662442591731117,-0.05280923882066217
2016-07-29,0.31,0.69,0.065463393572893,0.03932885991506927,0.05485071675513146,0.017334527819976908,-0.08208676233925971
2016-08-31,0.66,0.33999999999999997,0.02339459698619339,0.03873903004930201,0.031278669544855815,0.016592995821551205,-0.04075860935918927
2016-09-30,0.63,0.37,0.024261074838025018,0.035203863199563215,0.031145419399071894,0.014514666982916188,-0.04163708793541322
2016-10-31,0.5,0.5,0.035449946729696445,0.03501956256772377,0.038458514369500894,0.010196412645071654,-0.059418913220029956
2016-11-30,0.6,0.4,0.023858176162713796,0.03199705836182425,0.030074280093403023,0.005491800759593645,-0.0489419034085318
