Date,GLD,IEF,SHY,SPY,TLT
2008-06-09,87.98999786376953,56.86606979370117,62.379547119140625,98.04439544677734,53.11626052856445
2008-06-10,85.55000305175781,56.52747344970703,62.23591995239258,97.55635070800781,52.77097702026367
2008-06-11,87.0199966430664,56.58606719970703,62.341732025146484,96.12110900878906,52.6480712890625
2008-06-12,85.5999984741211,56.09116744995117,62.03940963745117,96.48711395263672,52.12138366699219
2008-06-13,85.83000183105469,55.9609375,62.107421875,97.70709228515625,52.01016616821289
2008-06-16,87.01000213623047,55.96744155883789,62.14524841308594,97.7645034790039,52.02189254760742
2008-06-17,87.25,56.156280517578125,62.26615524291992,97.29087829589844,52.12721633911133
2008-06-18,88.27999877929688,56.462364196777344,62.32668685913086,96.34358978271484,52.56614685058594
2008-06-19,88.41999816894531,56.136749267578125,62.20573806762695,96.46556091308594,52.25594711303711
2008-06-20,88.94999694824219,56.3972053527832,62.31907653808594,94.8997802734375,52.56028747558594
2008-06-23,87.08999633789062,56.37116241455078,62.2509651184082,94.80601501464844,52.6715087890625
2008-06-24,87.47000122070312,56.670711517333984,62.36442947387695,94.61847686767578,53.02266311645508
2008-06-25,87.41999816894531,56.66417694091797,62.409847259521484,95.06566619873047,53.04606246948242
2008-06-26,90.61000061035156,56.983253479003906,62.59123992919922,92.48361206054688,53.403011322021484
2008-06-27,91.47000122070312,57.263301849365234,62.621490478515625,91.97879791259766,54.029258728027344
2008-06-30,91.4000015258789,57.302303314208984,62.65925216674805,92.30333709716797,54.040958404541016
2008-07-01,92.66000366210938,57.14686584472656,62.643409729003906,92.59184265136719,53.91292953491211
2008-07-02,93.16999816894531,57.28404235839844,62.65094757080078,91.00508880615234,54.194847106933594
2008-07-03,92.05999755859375,57.30366897583008,62.75706100463867,91.09886932373047,54.07737731933594
2008-07-07,91.2300033569336,57.5715217590332,62.79490280151367,90.16850280761719,54.3240966796875
2008-07-08,90.86000061035156,57.71525192260742,62.802494049072266,91.76964569091797,54.67646789550781
2008-07-09,91.5,57.98967742919922,62.90859603881836,90.00261688232422,54.917266845703125
2008-07-10,93.52999877929688,58.00925827026367,62.83281707763672,90.37042999267578,54.91145706176758
2008-07-11,95.16000366210938,57.467002868652344,62.70404052734375,89.31742095947266,54.13026428222656
2008-07-14,95.91000366210938,57.774009704589844,62.84798812866211,88.50962829589844,54.60599899291992
2008-07-15,96.16999816894531,57.983123779296875,62.938941955566406,87.26192474365234,54.58835983276367
2008-07-16,94.44000244140625,57.45389175415039,62.8783073425293,89.40397644042969,53.60163116455078
2008-07-17,94.22000122070312,57.17949295043945,62.787391662597656,90.29833221435547,53.325584411621094
2008-07-18,94.16999816894531,56.9835205078125,62.67368698120117,90.86085510253906,53.12586975097656
